NO,WindowNumber,WindowAreaSum,WindowAreaAvg,DistanceToWindowSum,DistanceToWindowAvg,ViewVectorandWindowCenterAngleAvg,RoomWidth,RoomHeight,RoomDepth,RoomVolume,WholeRoomVolume,WindowToWallRatio,VWindowDispersion,HWindowDispersion,WindowLengthSum,WindowLengthAvg,WindowHeightSum,WindowHeightAvg,AspectRatioAvg,WindowHorizontalAngleSum,WindowHorizontalAngleAvg,WindowVerticalAngleSum,WindowVerticalAngleAvg,HViewAngle,VViewAngle,Z1PtsCount,Z2PtsCount,Z2PtsCountZ1PtsCount,Z3PtsCount,Z4PtsCount,Z1PtsCountRatio,Z2PtCountRatio,Z2PtsCountZ1PtsCountRatio,Z3PtsCountRatio,Z4PtsCountRatio,BuildingPtsCount,EquipmentPtsCount,TreePtsCount,PavementPtsCount,GrassPtsCount,WaterPtsCount,DynamicPtsCount,TreePtsCountGrassPtsCount,SkyPtsCount,BuildingPtsCountRatio,EquipmentPtsCountRatio,TreePtsCountRatio,PavementPtsCountRatio,GrassPtsCountRatio,WaterPtsCountRatio,DynamicPtsRatio,TreePtsCountGrassPtsCountRatio,SkyPtsCountRatio,BuildingIsClosest,EquipmentIsClosest,TreeIsClosest,DynamicIsClosest,SkyIsClosest,ClosestObjectDist,ElementNumber,FloorHeights,BuildingClosestDist,EquipmentClosestDist,TreeClosestDist,GrassClosestDist,WaterClosestDist,NatureClosestDist,DynamicClosestDist,SkyClosestDist,SkyCondition,ViewContent,ViewAccess,Privacy,OverallRating,RAND
11,1,9.600000954,9.600000954,3.920459157,19.60229579,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,459,884,1343,1264,158,0.166003617,0.319710669,0.485714286,0.457142857,0.057142857,16066,0,3468,0,10,0,0,3478,21607,0.390415786,0,0.084274987,0,0.000243007,0,0,0.084517995,0.52506622,1,0,0,0,0,28.69500601,3,1001.5,28.69500601,50000,78.40602896,441.5247407,50000,78.40602896,50000,54784.16786,1,3.32,2.94,2.28,2.94,0.401724678
12,2,6.600000298,3.300000149,8.130344396,12.19551659,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,306,680,986,928,116,0.150738916,0.334975369,0.485714286,0.457142857,0.057142857,8867,0,2593,0,10,0,0,2603,16910,0.312438337,0,0.09136716,0,0.000352361,0,0,0.091719521,0.595842142,1,0,0,0,0,62.01755916,3,1001.5,62.01755916,50000,78.09326284,441.5247407,50000,78.09326284,50000,55355.98176,1,3.533333333,3.133333333,3.333333333,3.4,0.736876192
13,3,5.760000315,1.920000105,12.50512484,16.67349978,17.58465964,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.163265308,0.2,1.2,3.600000143,1.200000048,4.800000072,1.600000024,0.750000019,46.50187274,15.50062425,65.37810465,21.79270155,47.5,23,357,646,1003,531,118,0.216101695,0.391041162,0.607142857,0.321428571,0.071428571,11815,0,2605,0,10,0,0,2615,10187,0.479952878,0,0.10582118,0,0.000406223,0,0,0.106227404,0.413819718,1,0,0,0,0,33.23164617,3,1001.5,33.23164617,50000,78.2835434,441.5247407,50000,78.2835434,50000,55144.7033,1,0.3,1,-0.7,0.325,0.202684967
14,1,13.44000098,13.44000098,3.9,19.5,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.380952392,4.44E-16,4.90E-16,4.800000191,4.800000191,2.800000191,2.800000191,1.714285666,63.21500684,63.21500684,39.49367466,39.49367466,63.5,39.5,459,884,1343,1264,1264,0.118574012,0.228364764,0.346938776,0.326530612,0.326530612,23322,0,7934,0,4799,0,77,12733,21607,0.403921093,0,0.137411455,0,0.083115399,0,0.001333587,0.220526854,0.374218466,1,0,0,0,0,31.53065657,5,1001.5,31.53065657,50000,76.08086597,83.83894589,50000,76.08086597,75.45893056,54784.16786,1,1.68,4,1.8,2.58,0.443651653
15,1,7.840000129,7.840000129,3.9,19.5,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.222222216,8.88E-16,1.29E-16,2.799999952,2.799999952,2.800000191,2.800000191,0.999999915,39.49367281,39.49367281,37.3365983,37.3365983,39.5,39.5,486,396,882,735,735,0.206632653,0.168367347,0.375,0.3125,0.3125,8245,0,5725,0,3776,0,77,9501,16024,0.243596183,0,0.169143499,0,0.111560847,0,0.002274943,0.280704346,0.473424528,1,0,0,0,0,75.44601316,5,1001.5,75.44601316,50000,77.64609751,85.08849063,50000,77.64609751,75.45893056,56945.55734,1,3.34,3.04,2.36,2.54,0.574668492
16,3,10.08000007,3.360000024,12.25703297,12.25703297,14.02500735,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.285714275,6.66E-16,1,3.599999905,1.199999968,8.400000572,2.800000191,0.428571388,48.10460189,16.0348673,113.7520248,37.9173416,49.5,39.5,378,756,1134,945,945,0.125,0.25,0.375,0.3125,0.3125,14589,0,6967,0,3973,0,77,10940,17653,0.33724774,0,0.161053191,0,0.09184216,0,0.001779976,0.252895351,0.408076932,1,0,0,0,0,53.24163721,5,1001.5,53.24163721,50000,75.80986845,84.45199792,50000,75.80986845,75.45893056,54872.64566,1,1.5,3,1.1,1.833333333,0.430562162
17,1,6.080000396,6.080000396,3.925875698,19.62937849,6.581944655,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.172335604,0.45,8.05E-16,3.200000048,3.200000048,1.900000095,1.900000095,1.684210467,44.61241096,44.61241096,27.05259754,27.05259754,44.5,27,468,540,1008,840,0,0.253246753,0.292207792,0.545454545,0.454545455,0,6316,0,2113,0,0,0,0,2113,17770,0.241077904,0,0.080651933,0,0,0,0,0.080651933,0.678270163,1,0,0,0,0,71.85043913,3,1001.5,71.85043913,50000,83.50442359,50000,50000,83.50442359,50000,56422.82718,1,1.82,2.68,1.04,2.56,0.582531423
18,2,9.240000009,4.620000005,8.04005597,20.10013993,14.03624347,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.26190475,2.22E-16,0.975,3.299999952,1.649999976,5.600000381,2.800000191,0.589285666,45.14508372,22.57254186,75.5718658,37.7859329,45,39.5,396,648,1044,870,870,0.142241379,0.232758621,0.375,0.3125,0.3125,12186,0,6453,0,3589,0,11,10042,17581,0.306027122,0,0.162054244,0,0.090130588,0,0.000276243,0.252184832,0.441511803,1,0,0,0,0,67.4104926,5,1001.5,67.4104926,50000,77.01640825,84.13312247,50000,77.01640825,75.45893056,55717.61197,1,2.96,3.5,2.14,3.08,0.876579742
19,4,7.919999485,1.979999871,16.55703297,20.69629121,19.50363244,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.224489771,0.65,1.2,7.199999809,1.799999952,4.399999976,1.099999994,2.062500026,95.60819708,23.90204927,60.23831836,15.05957959,48,32.5,256,736,992,744,682,0.105872622,0.304383788,0.41025641,0.307692308,0.282051282,13556,0,4730,0,1324,0,0,6054,14470,0.397769953,0,0.13879108,0,0.038849765,0,0,0.177640845,0.424589202,1,0,0,0,0,57.36496107,4,1001.5,57.36496107,50000,75.42507892,100.8108785,50000,75.42507892,50000,55278.31813,1,-0.08,0.7,0.34,0.16,0.859283449
20,1,4.159999909,4.159999909,3.902883549,11.70865065,2.202598162,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.117913824,0.15,4.47E-16,3.200000048,3.200000048,1.299999952,1.299999952,2.461538589,44.61241096,44.61241096,18.89793438,18.89793438,44.5,19,486,504,990,275,0,0.384189723,0.398418972,0.782608696,0.217391304,0,6316,0,2113,0,0,0,0,2113,9463,0.35300693,0,0.118097474,0,0,0,0,0.118097474,0.528895596,1,0,0,0,0,71.85043913,3,1001.5,71.85043913,50000,83.50442359,50000,50000,83.50442359,50000,57790.28502,1,3.766666667,0.666666667,4.4,2.333333333,0.095565175
41,1,9.600000954,9.600000954,3.920459157,15.68183663,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,459,884,1343,1264,158,0.166003617,0.319710669,0.485714286,0.457142857,0.057142857,11529,0,245,113,0,235,0,245,29029,0.280163301,0,0.005953683,0.002745984,0,0.005710675,0,0.005953683,0.705426357,1,0,0,0,0,909.8597726,5,92.70940026,909.8597726,50000,1189.272305,50000,3318.887113,1189.272305,50000,53224.47986,2,3.275,3.45,3.825,4,0.658569456
42,2,6.600000298,3.300000149,8.130344396,16.26068879,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,306,680,986,928,116,0.150738916,0.334975369,0.485714286,0.457142857,0.057142857,7934,0,173,90,0,163,0,173,20020,0.279563073,0,0.006095842,0.003171247,0,0.005743481,0,0.006095842,0.705426357,1,0,0,0,0,1009.19561,5,92.70940026,1009.19561,50000,1213.441963,50000,3723.026963,1213.441963,50000,55197.71527,2,4.225,2.9,2.75,3.65,0.976293484
43,3,5.760000315,1.920000105,12.50512484,20.84187473,17.58465964,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.163265308,0.2,1.2,3.600000143,1.200000048,4.800000072,1.600000024,0.750000019,46.50187274,15.50062425,65.37810465,21.79270155,47.5,23,357,646,1003,531,118,0.216101695,0.391041162,0.607142857,0.321428571,0.071428571,8589,0,212,108,0,173,0,212,15535,0.348905228,0,0.008611935,0.004387212,0,0.007027664,0,0.008611935,0.631067961,1,0,0,0,0,845.670025,5,92.70940026,845.670025,50000,1206.880015,50000,3206.001968,1206.880015,50000,53218.77442,2,4.38,3.18,5,4.46,0.770544391
44,1,13.44000098,13.44000098,3.9,23.4,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.380952392,4.44E-16,4.90E-16,4.800000191,4.800000191,2.800000191,2.800000191,1.714285666,63.21500684,63.21500684,39.49367466,39.49367466,63.5,39.5,459,884,1343,1264,1264,0.118574012,0.228364764,0.346938776,0.326530612,0.326530612,26226,0,905,1344,0,235,0,905,29029,0.454216388,0,0.015673981,0.023277161,0,0.004070039,0,0.015673981,0.502762431,1,0,0,0,0,452.8281791,5,92.70940026,452.8281791,50000,482.6665691,50000,3318.887113,482.6665691,50000,53224.47986,2,4.7,4.5,2.983333333,3.866666667,0.145194733
45,1,7.840000129,7.840000129,3.9,15.6,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.222222216,8.88E-16,1.29E-16,2.799999952,2.799999952,2.800000191,2.800000191,0.999999915,39.49367281,39.49367281,37.3365983,37.3365983,39.5,39.5,486,396,882,735,735,0.206632653,0.168367347,0.375,0.3125,0.3125,15334,0,323,1026,0,147,0,323,17017,0.453038674,0,0.009542943,0.030312879,0,0.004343073,0,0.009542943,0.502762431,0,0,1,0,0,483.445166,5,92.70940026,495.9825587,50000,483.445166,50000,3958.249946,483.445166,50000,56962.05605,2,4.2,3.95,3.875,3.825,0.498476925
46,3,10.08000007,3.360000024,12.25703297,16.34271062,14.02500735,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.285714275,6.66E-16,1,3.599999905,1.199999968,8.400000572,2.800000191,0.428571388,48.10460189,16.0348673,113.7520248,37.9173416,49.5,39.5,378,756,1134,945,945,0.125,0.25,0.375,0.3125,0.3125,19292,0,886,1170,0,162,0,886,21749,0.445965002,0,0.020481287,0.027046395,0,0.003744885,0,0.020481287,0.502762431,0,0,1,0,0,481.7825254,5,92.70940026,490.2185843,50000,481.7825254,50000,3613.557278,481.7825254,50000,54317.36278,2,4.825,3.7,3.85,4.225,0.966990237
47,1,6.080000396,6.080000396,3.925875698,11.77762709,6.581944655,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.172335604,0.45,8.05E-16,3.200000048,3.200000048,1.900000095,1.900000095,1.684210467,44.61241096,44.61241096,27.05259754,27.05259754,44.5,27,468,540,1008,840,0,0.253246753,0.292207792,0.545454545,0.454545455,0,6483,0,135,33,0,165,0,135,19383,0.247452193,0,0.005152868,0.00125959,0,0.00629795,0,0.005152868,0.739837398,1,0,0,0,0,1043.606959,5,92.70940026,1043.606959,50000,1306.738591,50000,3839.459695,1306.738591,50000,56418.84748,2,4.2,3.833333333,3.033333333,4.1,0.765843747
48,2,9.240000009,4.620000005,8.04005597,16.08011194,14.03624347,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.26190475,2.22E-16,0.975,3.299999952,1.649999976,5.600000381,2.800000191,0.589285666,45.14508372,22.57254186,75.5718658,37.7859329,45,39.5,396,648,1044,870,870,0.142241379,0.232758621,0.375,0.3125,0.3125,18596,0,329,711,0,164,0,329,20020,0.467001507,0,0.00826218,0.017855349,0,0.004118533,0,0.00826218,0.502762431,0,0,1,0,0,460.3761985,5,92.70940026,487.407375,50000,460.3761985,50000,3773.81314,460.3761985,50000,55685.51437,2,3.9,2.8,4.05,3.95,0.01918295
49,4,7.919999485,1.979999871,16.55703297,20.69629121,19.50363244,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.224489771,0.65,1.2,7.199999809,1.799999952,4.399999976,1.099999994,2.062500026,95.60819708,23.90204927,60.23831836,15.05957959,48,32.5,256,736,992,744,682,0.105872622,0.304383788,0.41025641,0.307692308,0.282051282,14419,0,380,390,0,171,0,380,18720,0.423092723,0,0.011150235,0.011443662,0,0.005017606,0,0.011150235,0.549295775,1,0,0,0,0,533.8207337,5,92.70940026,533.8207337,50000,564.8672311,50000,3631.822565,564.8672311,50000,54674.66445,2,4.54,4.08,4.28,3.58,0.372055635
50,1,4.159999909,4.159999909,3.902883549,11.70865065,2.202598162,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.117913824,0.15,4.47E-16,3.200000048,3.200000048,1.299999952,1.299999952,2.461538589,44.61241096,44.61241096,18.89793438,18.89793438,44.5,19,486,504,990,275,0,0.384189723,0.398418972,0.782608696,0.217391304,0,6483,0,135,33,0,165,0,135,11076,0.362340711,0,0.007545272,0.0018444,0,0.009221999,0,0.007545272,0.619047619,1,0,0,0,0,1043.606959,5,92.70940026,1043.606959,50000,1306.738591,50000,3839.459695,1306.738591,50000,57354.50608,2,2.766666667,0.966666667,3.3,3.433333333,0.960322117
61,1,9.600000954,9.600000954,3.920459157,15.68183663,5.856013585,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.272108858,0.4,1.56E-15,4.800000191,4.800000191,2,2,2.400000095,63.21500684,63.21500684,28.49300062,28.49300062,63.5,28.5,459,884,1343,1264,158,0.166003617,0.319710669,0.485714286,0.457142857,0.057142857,11229,0,330,270,0,319,0,330,29003,0.272873077,0,0.008019246,0.006561201,0,0.007751938,0,0.008019246,0.704794537,1,0,0,0,0,728.7926493,5,142.2859071,728.7926493,50000,1025.51448,50000,2816.701952,1025.51448,50000,53222.65736,2,3.05,3.35,3.6,3,0.710191058
62,2,6.600000298,3.300000149,8.130344396,12.19551659,16.38883926,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.18707483,0.4,1.075,3.299999952,1.649999976,4,2,0.824999988,44.61321148,22.30660574,55.19185773,27.59592886,45,28.5,306,680,986,928,116,0.150738916,0.334975369,0.485714286,0.457142857,0.057142857,7629,0,288,200,0,243,0,288,20020,0.268816068,0,0.010147992,0.007047216,0,0.008562368,0,0.010147992,0.705426357,1,0,0,0,0,934.3536794,5,142.2859071,934.3536794,50000,1014.806887,50000,3330.691077,1014.806887,50000,55197.71527,2,1.1,-0.966666667,2.4,0.566666667,0.692113801
63,3,5.760000315,1.920000105,12.50512484,16.67349978,17.58465964,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.163265308,0.2,1.2,3.600000143,1.200000048,4.800000072,1.600000024,0.750000019,46.50187274,15.50062425,65.37810465,21.79270155,47.5,23,357,646,1003,531,118,0.216101695,0.391041162,0.607142857,0.321428571,0.071428571,8663,0,121,148,0,176,0,121,15509,0.351911281,0,0.004915302,0.006012105,0,0.007149531,0,0.004915302,0.63001178,1,0,0,0,0,632.1476708,5,142.2859071,632.1476708,50000,1020.254162,50000,2608.884111,1020.254162,50000,53216.10504,2,3.675,0.725,2.9,3.05,0.711396163
64,1,13.44000098,13.44000098,3.9,19.5,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.380952392,4.44E-16,4.90E-16,4.800000191,4.800000191,2.800000191,2.800000191,1.714285666,63.21500684,63.21500684,39.49367466,39.49367466,63.5,39.5,459,884,1343,1264,1264,0.118574012,0.228364764,0.346938776,0.326530612,0.326530612,24880,0,736,2801,0,319,0,736,29003,0.430904588,0,0.012747017,0.048511405,0,0.005524862,0,0.012747017,0.502312129,1,0,0,0,0,441.1786705,5,142.2859071,441.1786705,50000,593.9661183,50000,2816.701952,593.9661183,50000,53222.65736,2,4.46,4.82,3.62,4.44,0.68444704
65,1,7.840000129,7.840000129,3.9,19.5,0,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.222222216,8.88E-16,1.29E-16,2.799999952,2.799999952,2.800000191,2.800000191,0.999999915,39.49367281,39.49367281,37.3365983,37.3365983,39.5,39.5,486,396,882,735,735,0.206632653,0.168367347,0.375,0.3125,0.3125,14547,0,441,1666,0,202,0,441,16991,0.429786983,0,0.01302922,0.049221497,0,0.005968033,0,0.01302922,0.501994268,1,0,0,0,0,429.0003174,5,142.2859071,429.0003174,50000,759.403523,50000,3501.136278,759.403523,50000,56960.57408,2,3.26,3.32,2.54,3.42,0.0710167
66,3,10.08000007,3.360000024,12.25703297,24.51406593,14.02500735,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.285714275,6.66E-16,1,3.599999905,1.199999968,8.400000572,2.800000191,0.428571388,48.10460189,16.0348673,113.7520248,37.9173416,49.5,39.5,378,756,1134,945,945,0.125,0.25,0.375,0.3125,0.3125,19026,0,478,1846,0,186,0,478,21723,0.439815992,0,0.011049724,0.042673201,0,0.004299683,0,0.011049724,0.5021614,1,0,0,0,0,433.115933,5,142.2859071,433.115933,50000,665.0226976,50000,3199.51356,665.0226976,50000,54315.54992,2,2.816666667,2.183333333,3.716666667,2.716666667,0.87198052
67,1,6.080000396,6.080000396,3.925875698,19.62937849,6.581944655,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.172335604,0.45,8.05E-16,3.200000048,3.200000048,1.900000095,1.900000095,1.684210467,44.61241096,44.61241096,27.05259754,27.05259754,44.5,27,468,540,1008,840,0,0.253246753,0.292207792,0.545454545,0.454545455,0,6398,0,115,106,0,223,0,115,19357,0.244207794,0,0.004389481,0.004045956,0,0.008511775,0,0.004389481,0.738844994,1,0,0,0,0,620.7125473,5,142.2859071,620.7125473,50000,1221.191946,50000,3410.510895,1221.191946,50000,56417.55386,2,2.16,1.98,2.78,2.12,0.772626045
68,2,9.240000009,4.620000005,8.04005597,20.10013993,14.03624347,4.800000191,2.800000094,3.899999976,52.41600352,64.51200569,0.26190475,2.22E-16,0.975,3.299999952,1.649999976,5.600000381,2.800000191,0.589285666,45.14508372,22.57254186,75.5718658,37.7859329,45,39.5,396,648,1044,870,870,0.142241379,0.232758621,0.375,0.3125,0.3125,17085,0,496,1980,0,241,0,496,20018,0.429055751,0,0.012456052,0.049723757,0,0.006052235,0,0.012456052,0.502712205,1,0,0,0,0,437.0382923,5,142.2859071,437.0382923,50000,761.3640482,50000,3340.465832,761.3640482,50000,55676.04261,2,2.18,1.58,1.92,2.04,0.784132928
